Item Purchased,Category,Color,Location,Size,Gender,Shipping Type,Payment Method,Discount Applied,Subscription Status,Season,Frequency of Purchases,Previous Purchases,Purchase Amount (USD),Age,Category_Item_Color,Category_Item_Size,Category_Item_Location,Prob Alta (%),Classe Prevista,Risco de Review
Dress,Accessories,Yellow,Texas,L,Female,Express,Credit Card,1,1,Spring,Occasionally,9,486.84,63,Accessories_Dress_Yellow,Accessories_Dress_L,Accessories_Dress_Texas,94.25,Alta,Alta probabilidade
Shoes,Footwear,Blue,Nevada,L,Male,Express,PayPal,0,1,Winter,Occasionally,8,104.92,58,Footwear_Shoes_Blue,Footwear_Shoes_L,Footwear_Shoes_Nevada,42.67,Não-Alta,Baixa
Jacket,Clothing,Blue,Texas,XL,Male,Standard,Credit Card,0,0,Summer,Weekly,9,179.46,47,Clothing_Jacket_Blue,Clothing_Jacket_XL,Clothing_Jacket_Texas,79.14,Alta,Alta probabilidade
Jeans,Outerwear,Red,New York,L,Female,Express,Debit Card,1,1,Winter,Monthly,7,185.34,24,Outerwear_Jeans_Red,Outerwear_Jeans_L,Outerwear_Jeans_New York,54.77,Alta,Moderada
Dress,Footwear,Red,Nevada,L,Male,Standard,Debit Card,1,1,Winter,Monthly,6,14.14,43,Footwear_Dress_Red,Footwear_Dress_L,Footwear_Dress_Nevada,45.6,Não-Alta,Baixa
Jacket,Clothing,Yellow,New York,S,Male,Express,PayPal,1,1,Winter,Occasionally,2,421.21,57,Clothing_Jacket_Yellow,Clothing_Jacket_S,Clothing_Jacket_New York,86.47,Alta,Alta probabilidade
Shoes,Accessories,White,Nevada,S,Female,Standard,Debit Card,1,1,Winter,Weekly,7,25.68,63,Accessories_Shoes_White,Accessories_Shoes_S,Accessories_Shoes_Nevada,43.45,Não-Alta,Baixa
Shoes,Accessories,Yellow,New York,L,Male,Express,Credit Card,0,0,Winter,Monthly,1,470.69,63,Accessories_Shoes_Yellow,Accessories_Shoes_L,Accessories_Shoes_New York,89.83,Alta,Alta probabilidade
T-shirt,Footwear,White,California,XL,Male,Standard,PayPal,0,0,Winter,Weekly,1,447.12,28,Footwear_T-shirt_White,Footwear_T-shirt_XL,Footwear_T-shirt_California,94.17,Alta,Alta probabilidade
T-shirt,Clothing,Blue,New York,M,Male,Express,Debit Card,1,0,Winter,Monthly,9,272.41,31,Clothing_T-shirt_Blue,Clothing_T-shirt_M,Clothing_T-shirt_New York,66.69,Alta,Moderada
Jeans,Footwear,Black,California,XL,Female,Standard,Debit Card,0,0,Spring,Occasionally,2,276.36,38,Footwear_Jeans_Black,Footwear_Jeans_XL,Footwear_Jeans_California,85.13,Alta,Alta probabilidade
Jacket,Footwear,Red,New York,M,Female,Express,Credit Card,0,0,Fall,Weekly,6,330.35,25,Footwear_Jacket_Red,Footwear_Jacket_M,Footwear_Jacket_New York,76.07,Alta,Alta probabilidade
Jacket,Clothing,White,Nevada,XL,Female,Express,Credit Card,1,1,Spring,Weekly,0,199.65,20,Clothing_Jacket_White,Clothing_Jacket_XL,Clothing_Jacket_Nevada,74.35,Alta,Alta probabilidade
T-shirt,Clothing,Yellow,Nevada,S,Male,Standard,PayPal,1,1,Winter,Monthly,7,327.14,45,Clothing_T-shirt_Yellow,Clothing_T-shirt_S,Clothing_T-shirt_Nevada,89.19,Alta,Alta probabilidade
Jacket,Outerwear,Blue,Nevada,L,Male,Express,Debit Card,0,0,Winter,Monthly,6,31.94,46,Outerwear_Jacket_Blue,Outerwear_Jacket_L,Outerwear_Jacket_Nevada,52.93,Alta,Moderada
Jacket,Clothing,White,Florida,L,Male,Standard,Credit Card,1,0,Spring,Monthly,3,36.48,40,Clothing_Jacket_White,Clothing_Jacket_L,Clothing_Jacket_Florida,53.14,Alta,Moderada
Shoes,Accessories,Yellow,Texas,S,Male,Standard,PayPal,1,0,Spring,Weekly,4,234.04,35,Accessories_Shoes_Yellow,Accessories_Shoes_S,Accessories_Shoes_Texas,85.71,Alta,Alta probabilidade
T-shirt,Footwear,Red,Nevada,M,Female,Express,Debit Card,1,1,Fall,Occasionally,9,279.31,52,Footwear_T-shirt_Red,Footwear_T-shirt_M,Footwear_T-shirt_Nevada,65.76,Alta,Moderada
Dress,Footwear,Red,California,M,Male,Standard,Debit Card,0,0,Spring,Occasionally,0,445.03,30,Footwear_Dress_Red,Footwear_Dress_M,Footwear_Dress_California,88.0,Alta,Alta probabilidade
T-shirt,Accessories,Green,Nevada,M,Male,Express,PayPal,1,1,Fall,Monthly,3,61.28,29,Accessories_T-shirt_Green,Accessories_T-shirt_M,Accessories_T-shirt_Nevada,41.41,Não-Alta,Baixa
Dress,Clothing,Black,Florida,S,Male,Express,PayPal,0,1,Winter,Occasionally,0,413.1,64,Clothing_Dress_Black,Clothing_Dress_S,Clothing_Dress_Florida,87.7,Alta,Alta probabilidade
Shoes,Accessories,Green,California,M,Female,Standard,Credit Card,0,1,Summer,Monthly,0,112.92,67,Accessories_Shoes_Green,Accessories_Shoes_M,Accessories_Shoes_California,50.28,Alta,Moderada
Jeans,Accessories,Blue,Florida,S,Male,Express,Debit Card,0,1,Summer,Occasionally,9,203.1,22,Accessories_Jeans_Blue,Accessories_Jeans_S,Accessories_Jeans_Florida,59.29,Alta,Moderada
Jacket,Outerwear,White,California,XL,Male,Standard,Debit Card,1,0,Summer,Weekly,0,165.14,56,Outerwear_Jacket_White,Outerwear_Jacket_XL,Outerwear_Jacket_California,65.0,Alta,Moderada
Shoes,Accessories,Blue,New York,XL,Male,Standard,Debit Card,1,1,Summer,Monthly,6,206.08,28,Accessories_Shoes_Blue,Accessories_Shoes_XL,Accessories_Shoes_New York,71.68,Alta,Alta probabilidade
Jacket,Footwear,Yellow,Texas,S,Male,Express,PayPal,1,1,Winter,Occasionally,6,83.74,28,Footwear_Jacket_Yellow,Footwear_Jacket_S,Footwear_Jacket_Texas,76.44,Alta,Alta probabilidade
Jeans,Accessories,Red,Texas,L,Male,Express,Credit Card,1,0,Summer,Weekly,3,256.75,64,Accessories_Jeans_Red,Accessories_Jeans_L,Accessories_Jeans_Texas,68.05,Alta,Moderada
Jeans,Footwear,Green,Florida,XL,Female,Standard,Debit Card,1,1,Spring,Occasionally,1,402.8,59,Footwear_Jeans_Green,Footwear_Jeans_XL,Footwear_Jeans_Florida,81.67,Alta,Alta probabilidade
Shoes,Footwear,Green,Texas,M,Male,Standard,PayPal,0,1,Spring,Weekly,2,226.35,64,Footwear_Shoes_Green,Footwear_Shoes_M,Footwear_Shoes_Texas,46.7,Não-Alta,Baixa
Jeans,Footwear,Green,Florida,S,Male,Express,Debit Card,0,1,Summer,Weekly,7,250.4,48,Footwear_Jeans_Green,Footwear_Jeans_S,Footwear_Jeans_Florida,61.73,Alta,Moderada
Dress,Clothing,Blue,Florida,M,Male,Express,Credit Card,0,0,Spring,Occasionally,7,425.9,48,Clothing_Dress_Blue,Clothing_Dress_M,Clothing_Dress_Florida,83.65,Alta,Alta probabilidade
Jeans,Outerwear,Red,Florida,M,Male,Express,Debit Card,1,1,Fall,Occasionally,5,355.97,30,Outerwear_Jeans_Red,Outerwear_Jeans_M,Outerwear_Jeans_Florida,66.81,Alta,Moderada
Jacket,Footwear,White,Texas,L,Male,Express,Credit Card,0,1,Winter,Weekly,9,250.32,31,Footwear_Jacket_White,Footwear_Jacket_L,Footwear_Jacket_Texas,85.75,Alta,Alta probabilidade
Jacket,Footwear,Yellow,Florida,M,Male,Standard,Credit Card,0,0,Summer,Weekly,8,136.27,66,Footwear_Jacket_Yellow,Footwear_Jacket_M,Footwear_Jacket_Florida,70.76,Alta,Alta probabilidade
Jacket,Clothing,White,Texas,L,Male,Express,Debit Card,1,0,Summer,Weekly,8,443.61,62,Clothing_Jacket_White,Clothing_Jacket_L,Clothing_Jacket_Texas,85.98,Alta,Alta probabilidade
Jacket,Footwear,Blue,Florida,XL,Male,Standard,Debit Card,1,1,Winter,Monthly,3,292.74,59,Footwear_Jacket_Blue,Footwear_Jacket_XL,Footwear_Jacket_Florida,81.19,Alta,Alta probabilidade
Dress,Accessories,Yellow,Nevada,S,Male,Standard,Credit Card,0,1,Spring,Weekly,0,118.36,42,Accessories_Dress_Yellow,Accessories_Dress_S,Accessories_Dress_Nevada,77.59,Alta,Alta probabilidade
T-shirt,Accessories,Green,Florida,M,Male,Express,PayPal,0,0,Winter,Monthly,0,141.87,50,Accessories_T-shirt_Green,Accessories_T-shirt_M,Accessories_T-shirt_Florida,52.4,Alta,Moderada
Shoes,Outerwear,Black,California,S,Female,Standard,Credit Card,1,1,Winter,Weekly,9,403.54,50,Outerwear_Shoes_Black,Outerwear_Shoes_S,Outerwear_Shoes_California,88.88,Alta,Alta probabilidade
Jacket,Footwear,Blue,Florida,M,Female,Express,Debit Card,1,0,Spring,Monthly,4,31.63,32,Footwear_Jacket_Blue,Footwear_Jacket_M,Footwear_Jacket_Florida,41.44,Não-Alta,Baixa
Jeans,Clothing,Blue,New York,S,Female,Standard,Debit Card,1,1,Winter,Weekly,1,496.13,33,Clothing_Jeans_Blue,Clothing_Jeans_S,Clothing_Jeans_New York,51.07,Alta,Moderada
Jacket,Accessories,Red,Florida,M,Female,Express,PayPal,1,0,Spring,Weekly,5,73.87,61,Accessories_Jacket_Red,Accessories_Jacket_M,Accessories_Jacket_Florida,40.33,Não-Alta,Baixa
Jeans,Clothing,White,California,M,Male,Standard,Credit Card,0,1,Spring,Weekly,6,400.07,55,Clothing_Jeans_White,Clothing_Jeans_M,Clothing_Jeans_California,78.56,Alta,Alta probabilidade
Jeans,Clothing,Blue,California,M,Female,Standard,Credit Card,0,0,Winter,Occasionally,0,203.44,23,Clothing_Jeans_Blue,Clothing_Jeans_M,Clothing_Jeans_California,37.38,Não-Alta,Baixa
Jacket,Accessories,Blue,Texas,M,Female,Express,Credit Card,1,0,Fall,Occasionally,5,251.19,61,Accessories_Jacket_Blue,Accessories_Jacket_M,Accessories_Jacket_Texas,68.59,Alta,Moderada
Dress,Clothing,Green,Nevada,M,Male,Express,Debit Card,0,0,Spring,Weekly,7,441.52,42,Clothing_Dress_Green,Clothing_Dress_M,Clothing_Dress_Nevada,74.88,Alta,Alta probabilidade
Jeans,Accessories,Green,Florida,M,Female,Standard,Credit Card,0,0,Winter,Monthly,4,212.33,32,Accessories_Jeans_Green,Accessories_Jeans_M,Accessories_Jeans_Florida,56.34,Alta,Moderada
Jeans,Clothing,Yellow,Texas,M,Female,Standard,PayPal,1,0,Spring,Monthly,6,273.37,21,Clothing_Jeans_Yellow,Clothing_Jeans_M,Clothing_Jeans_Texas,72.3,Alta,Alta probabilidade
Jacket,Accessories,Black,Nevada,M,Male,Express,Debit Card,0,1,Fall,Weekly,9,34.16,21,Accessories_Jacket_Black,Accessories_Jacket_M,Accessories_Jacket_Nevada,53.29,Alta,Moderada
Jeans,Footwear,Red,Florida,M,Male,Standard,Debit Card,0,1,Fall,Occasionally,5,11.15,47,Footwear_Jeans_Red,Footwear_Jeans_M,Footwear_Jeans_Florida,37.55,Não-Alta,Baixa
Jeans,Outerwear,Black,New York,S,Male,Express,Credit Card,0,0,Summer,Monthly,3,129.95,51,Outerwear_Jeans_Black,Outerwear_Jeans_S,Outerwear_Jeans_New York,61.34,Alta,Moderada
Jacket,Accessories,Yellow,Florida,L,Female,Standard,PayPal,1,1,Spring,Occasionally,6,343.49,44,Accessories_Jacket_Yellow,Accessories_Jacket_L,Accessories_Jacket_Florida,86.38,Alta,Alta probabilidade
Jacket,Accessories,Green,California,M,Female,Express,Debit Card,1,1,Spring,Monthly,9,69.42,48,Accessories_Jacket_Green,Accessories_Jacket_M,Accessories_Jacket_California,45.33,Não-Alta,Baixa
Shoes,Outerwear,White,California,L,Male,Standard,Debit Card,0,1,Winter,Weekly,8,65.74,49,Outerwear_Shoes_White,Outerwear_Shoes_L,Outerwear_Shoes_California,59.43,Alta,Moderada
Dress,Accessories,Green,New York,M,Male,Express,Credit Card,1,1,Spring,Occasionally,9,211.37,61,Accessories_Dress_Green,Accessories_Dress_M,Accessories_Dress_New York,59.17,Alta,Moderada
Dress,Accessories,Red,Texas,M,Female,Express,Credit Card,1,1,Summer,Monthly,9,327.44,56,Accessories_Dress_Red,Accessories_Dress_M,Accessories_Dress_Texas,78.38,Alta,Alta probabilidade
Jeans,Clothing,Green,Nevada,S,Male,Standard,PayPal,1,1,Fall,Weekly,6,358.92,69,Clothing_Jeans_Green,Clothing_Jeans_S,Clothing_Jeans_Nevada,40.56,Não-Alta,Baixa
Dress,Outerwear,Red,Florida,XL,Female,Express,Credit Card,0,0,Fall,Weekly,4,97.44,26,Outerwear_Dress_Red,Outerwear_Dress_XL,Outerwear_Dress_Florida,61.55,Alta,Moderada
Jeans,Footwear,Red,California,XL,Male,Standard,PayPal,0,1,Summer,Weekly,6,49.0,58,Footwear_Jeans_Red,Footwear_Jeans_XL,Footwear_Jeans_California,56.32,Alta,Moderada
Shoes,Accessories,Red,Texas,S,Male,Express,Debit Card,1,1,Spring,Occasionally,2,470.79,25,Accessories_Shoes_Red,Accessories_Shoes_S,Accessories_Shoes_Texas,90.62,Alta,Alta probabilidade
Jacket,Outerwear,Yellow,New York,L,Female,Express,PayPal,0,1,Spring,Occasionally,1,137.73,31,Outerwear_Jacket_Yellow,Outerwear_Jacket_L,Outerwear_Jacket_New York,73.12,Alta,Alta probabilidade
Jacket,Clothing,Red,California,XL,Male,Express,PayPal,0,0,Summer,Weekly,4,428.14,50,Clothing_Jacket_Red,Clothing_Jacket_XL,Clothing_Jacket_California,85.22,Alta,Alta probabilidade
Jacket,Footwear,Red,New York,S,Male,Standard,PayPal,0,1,Winter,Occasionally,3,433.11,40,Footwear_Jacket_Red,Footwear_Jacket_S,Footwear_Jacket_New York,88.3,Alta,Alta probabilidade
Dress,Outerwear,White,Florida,S,Male,Express,Debit Card,0,1,Fall,Monthly,4,388.54,38,Outerwear_Dress_White,Outerwear_Dress_S,Outerwear_Dress_Florida,84.34,Alta,Alta probabilidade
Shoes,Footwear,Black,Nevada,XL,Female,Standard,Credit Card,0,1,Summer,Weekly,7,92.73,29,Footwear_Shoes_Black,Footwear_Shoes_XL,Footwear_Shoes_Nevada,81.16,Alta,Alta probabilidade
Dress,Footwear,Blue,California,L,Male,Express,Debit Card,1,0,Summer,Weekly,3,412.68,19,Footwear_Dress_Blue,Footwear_Dress_L,Footwear_Dress_California,82.14,Alta,Alta probabilidade
Dress,Footwear,Black,California,S,Male,Standard,Credit Card,0,1,Spring,Occasionally,8,386.93,30,Footwear_Dress_Black,Footwear_Dress_S,Footwear_Dress_California,93.03,Alta,Alta probabilidade
Shoes,Accessories,Red,Florida,M,Male,Standard,PayPal,0,0,Fall,Weekly,6,302.39,21,Accessories_Shoes_Red,Accessories_Shoes_M,Accessories_Shoes_Florida,70.05,Alta,Alta probabilidade
Shoes,Accessories,White,Texas,L,Male,Standard,PayPal,0,1,Spring,Monthly,9,175.23,37,Accessories_Shoes_White,Accessories_Shoes_L,Accessories_Shoes_Texas,79.0,Alta,Alta probabilidade
Shoes,Clothing,Green,Nevada,L,Male,Express,PayPal,1,0,Summer,Occasionally,6,138.63,67,Clothing_Shoes_Green,Clothing_Shoes_L,Clothing_Shoes_Nevada,32.28,Não-Alta,Baixa
Shoes,Clothing,White,California,XL,Male,Standard,PayPal,1,0,Winter,Occasionally,7,69.73,68,Clothing_Shoes_White,Clothing_Shoes_XL,Clothing_Shoes_California,52.79,Alta,Moderada
Jacket,Outerwear,Red,Nevada,XL,Female,Express,PayPal,1,0,Fall,Weekly,5,259.78,65,Outerwear_Jacket_Red,Outerwear_Jacket_XL,Outerwear_Jacket_Nevada,61.34,Alta,Moderada
T-shirt,Clothing,White,California,M,Female,Standard,Credit Card,0,1,Summer,Weekly,7,296.78,31,Clothing_T-shirt_White,Clothing_T-shirt_M,Clothing_T-shirt_California,80.93,Alta,Alta probabilidade
T-shirt,Footwear,White,Nevada,S,Male,Standard,Credit Card,1,0,Summer,Weekly,2,186.08,47,Footwear_T-shirt_White,Footwear_T-shirt_S,Footwear_T-shirt_Nevada,72.6,Alta,Alta probabilidade
Shoes,Footwear,Red,New York,XL,Female,Standard,PayPal,1,0,Winter,Occasionally,9,242.93,46,Footwear_Shoes_Red,Footwear_Shoes_XL,Footwear_Shoes_New York,62.26,Alta,Moderada
T-shirt,Accessories,Yellow,California,XL,Female,Standard,Debit Card,1,0,Summer,Weekly,9,188.12,25,Accessories_T-shirt_Yellow,Accessories_T-shirt_XL,Accessories_T-shirt_California,84.54,Alta,Alta probabilidade
T-shirt,Footwear,White,Nevada,L,Male,Express,Debit Card,1,0,Summer,Monthly,0,324.09,29,Footwear_T-shirt_White,Footwear_T-shirt_L,Footwear_T-shirt_Nevada,78.25,Alta,Alta probabilidade
Shoes,Outerwear,Blue,Texas,XL,Female,Standard,PayPal,0,1,Fall,Weekly,5,451.62,58,Outerwear_Shoes_Blue,Outerwear_Shoes_XL,Outerwear_Shoes_Texas,91.51,Alta,Alta probabilidade
T-shirt,Footwear,Blue,New York,XL,Female,Standard,Credit Card,1,1,Fall,Weekly,0,90.32,55,Footwear_T-shirt_Blue,Footwear_T-shirt_XL,Footwear_T-shirt_New York,68.52,Alta,Moderada
Dress,Footwear,White,New York,XL,Female,Express,Debit Card,1,1,Fall,Occasionally,8,196.89,43,Footwear_Dress_White,Footwear_Dress_XL,Footwear_Dress_New York,71.13,Alta,Alta probabilidade
Jeans,Outerwear,Yellow,Texas,XL,Female,Standard,Debit Card,0,1,Spring,Weekly,1,79.03,67,Outerwear_Jeans_Yellow,Outerwear_Jeans_XL,Outerwear_Jeans_Texas,79.49,Alta,Alta probabilidade
Jeans,Clothing,Green,Nevada,L,Female,Standard,Debit Card,0,0,Winter,Occasionally,1,316.22,19,Clothing_Jeans_Green,Clothing_Jeans_L,Clothing_Jeans_Nevada,75.18,Alta,Alta probabilidade
Shoes,Clothing,Red,Florida,M,Female,Standard,PayPal,1,1,Fall,Weekly,6,367.15,57,Clothing_Shoes_Red,Clothing_Shoes_M,Clothing_Shoes_Florida,66.96,Alta,Moderada
Jacket,Outerwear,Blue,Texas,M,Female,Standard,Debit Card,0,0,Spring,Monthly,1,466.64,31,Outerwear_Jacket_Blue,Outerwear_Jacket_M,Outerwear_Jacket_Texas,94.26,Alta,Alta probabilidade
Shoes,Accessories,Green,Nevada,S,Female,Express,Debit Card,1,1,Spring,Monthly,9,146.65,23,Accessories_Shoes_Green,Accessories_Shoes_S,Accessories_Shoes_Nevada,51.84,Alta,Moderada
Jacket,Footwear,White,Texas,XL,Male,Express,Debit Card,0,1,Winter,Occasionally,7,475.6,59,Footwear_Jacket_White,Footwear_Jacket_XL,Footwear_Jacket_Texas,94.58,Alta,Alta probabilidade
Jeans,Outerwear,Green,Texas,L,Male,Standard,Debit Card,0,1,Winter,Occasionally,5,41.0,57,Outerwear_Jeans_Green,Outerwear_Jeans_L,Outerwear_Jeans_Texas,51.85,Alta,Moderada
Shoes,Footwear,Black,California,S,Female,Express,Credit Card,1,0,Summer,Weekly,6,305.48,48,Footwear_Shoes_Black,Footwear_Shoes_S,Footwear_Shoes_California,61.61,Alta,Moderada
Dress,Accessories,Blue,Nevada,S,Female,Express,PayPal,0,1,Spring,Weekly,6,38.0,34,Accessories_Dress_Blue,Accessories_Dress_S,Accessories_Dress_Nevada,47.49,Não-Alta,Baixa
T-shirt,Footwear,White,Florida,M,Male,Standard,PayPal,1,1,Fall,Monthly,5,447.95,42,Footwear_T-shirt_White,Footwear_T-shirt_M,Footwear_T-shirt_Florida,87.91,Alta,Alta probabilidade
Jacket,Outerwear,Red,California,L,Female,Express,Credit Card,0,1,Winter,Weekly,9,269.61,49,Outerwear_Jacket_Red,Outerwear_Jacket_L,Outerwear_Jacket_California,69.15,Alta,Moderada
T-shirt,Footwear,Yellow,Texas,L,Female,Standard,Credit Card,1,0,Spring,Monthly,8,337.98,29,Footwear_T-shirt_Yellow,Footwear_T-shirt_L,Footwear_T-shirt_Texas,93.83,Alta,Alta probabilidade
T-shirt,Clothing,White,Texas,L,Male,Express,PayPal,0,1,Fall,Occasionally,8,417.47,66,Clothing_T-shirt_White,Clothing_T-shirt_L,Clothing_T-shirt_Texas,94.32,Alta,Alta probabilidade
Shoes,Accessories,Red,Texas,M,Male,Express,Debit Card,0,1,Spring,Weekly,6,83.65,30,Accessories_Shoes_Red,Accessories_Shoes_M,Accessories_Shoes_Texas,62.16,Alta,Moderada
T-shirt,Accessories,Yellow,Nevada,M,Male,Express,Debit Card,0,0,Winter,Occasionally,8,28.91,36,Accessories_T-shirt_Yellow,Accessories_T-shirt_M,Accessories_T-shirt_Nevada,56.32,Alta,Moderada
Dress,Accessories,Yellow,Nevada,M,Female,Standard,PayPal,0,0,Summer,Weekly,9,440.65,61,Accessories_Dress_Yellow,Accessories_Dress_M,Accessories_Dress_Nevada,85.71,Alta,Alta probabilidade
T-shirt,Outerwear,White,California,M,Female,Express,Debit Card,0,1,Spring,Monthly,2,164.32,65,Outerwear_T-shirt_White,Outerwear_T-shirt_M,Outerwear_T-shirt_California,69.54,Alta,Moderada
Shoes,Accessories,Green,Florida,M,Male,Standard,Credit Card,1,1,Fall,Occasionally,2,73.2,42,Accessories_Shoes_Green,Accessories_Shoes_M,Accessories_Shoes_Florida,42.13,Não-Alta,Baixa
Dress,Clothing,Green,California,XL,Male,Standard,Debit Card,0,1,Winter,Occasionally,0,239.55,48,Clothing_Dress_Green,Clothing_Dress_XL,Clothing_Dress_California,76.94,Alta,Alta probabilidade
Jeans,Outerwear,Yellow,New York,XL,Female,Express,Debit Card,1,0,Summer,Weekly,4,303.17,54,Outerwear_Jeans_Yellow,Outerwear_Jeans_XL,Outerwear_Jeans_New York,78.53,Alta,Alta probabilidade
T-shirt,Clothing,Green,Texas,L,Male,Standard,Debit Card,1,0,Fall,Occasionally,3,25.18,42,Clothing_T-shirt_Green,Clothing_T-shirt_L,Clothing_T-shirt_Texas,65.53,Alta,Moderada
Shoes,Footwear,Black,Texas,S,Female,Express,PayPal,1,0,Fall,Monthly,1,144.7,33,Footwear_Shoes_Black,Footwear_Shoes_S,Footwear_Shoes_Texas,29.18,Não-Alta,Baixa
Jeans,Footwear,Yellow,Texas,L,Female,Standard,Credit Card,0,1,Fall,Occasionally,8,26.07,55,Footwear_Jeans_Yellow,Footwear_Jeans_L,Footwear_Jeans_Texas,67.73,Alta,Moderada
Jeans,Footwear,Yellow,California,S,Male,Standard,Debit Card,1,0,Spring,Occasionally,2,215.96,60,Footwear_Jeans_Yellow,Footwear_Jeans_S,Footwear_Jeans_California,76.45,Alta,Alta probabilidade
Jacket,Footwear,Red,California,M,Male,Express,PayPal,0,1,Winter,Weekly,7,448.6,66,Footwear_Jacket_Red,Footwear_Jacket_M,Footwear_Jacket_California,84.48,Alta,Alta probabilidade
Dress,Clothing,Green,Texas,S,Female,Express,Debit Card,1,0,Fall,Occasionally,5,491.5,40,Clothing_Dress_Green,Clothing_Dress_S,Clothing_Dress_Texas,60.31,Alta,Moderada
T-shirt,Outerwear,Yellow,California,L,Male,Express,Credit Card,1,0,Spring,Weekly,4,322.15,31,Outerwear_T-shirt_Yellow,Outerwear_T-shirt_L,Outerwear_T-shirt_California,89.35,Alta,Alta probabilidade
Shoes,Outerwear,Black,Nevada,L,Male,Express,Debit Card,1,0,Winter,Weekly,0,89.2,23,Outerwear_Shoes_Black,Outerwear_Shoes_L,Outerwear_Shoes_Nevada,53.63,Alta,Moderada
Jacket,Accessories,Red,Nevada,S,Male,Standard,Credit Card,1,1,Winter,Occasionally,3,453.87,42,Accessories_Jacket_Red,Accessories_Jacket_S,Accessories_Jacket_Nevada,87.04,Alta,Alta probabilidade
